"ZetaPrints Sync","ZetaPrints Sync"
"Settings","Settings"
"Enabled","Enabled"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API Key"
"Store","Store"
"Refresh All","Refresh All"
"For Deleted Templates","For Deleted Templates"
"File Uploading Limit","File Uploading Limit"
"Up/Down","Up/Down"
"Collapse/Expand","Collapse/Expand"
"Title","Title"
"Upload","Upload"
"My images","My images"
"Stock images","Stock images"
"Color picker","Color picker"
"Blank","Blank"
"Default","Default"
"Upload new image from your computer","Upload new image from your computer"
"Choose file","Choose file"
"Upload file","Upload file"
"Click to edit","Click to edit"
"Click to delete","Click to delete"
"Delete","Delete"
"Click to edit","Click to edit"
"Edit","Edit"
"Click to enlarge","Click to enlarge"
"Choose a color","Choose a color"
" and click Select to fill the place of the photo."," and click Select to fill the place of the photo."
"Click to show page","Click to show page"
