"Click to enlarge image","Anklicken zum Vergrößern"
"Click to see more images","Anklicken um mehr Bilder zu ansehen"
"PDF Proof","PDF Proof"
"Update preview","Aktualisieren der Vorschau"
"Updating preview image","Der Vorschau wird aktualisiert"
"Next page","Nächste Seite"
"Show previews","Zeigen den Vorschau"
"Hide previews","Ausblenden den Vorschau"
"Show all order previews","Zeigen alle die Vorschau"
"Hide all order previews","Ausblenden alle die Vorschau"
"Edit","Bearbeiten"
"Delete","Entfernen"
"Can't get preview image:","Wir können nicht den Vorschau finden:"
"There was an error in generating or receiving preview image.\nPlease try again.","Es gab einen Fehler bei der Erzeugung oder Emfangen von dem vorchaubild."
"Error was occurred while preparing preview image","Ein Fehler ist aufgetreten bei der Vorbereitung vom Vorschaubild."
"Error was occurred while uploading image","Ein Fehler ist aufgetreten bei der Hochladung vom Vorschaubild."
"Click to close","Abschließen"
"Click to view in large size","Anklicken zum Vergrößern"
"Click to delete","Anklicken zu entfernen"
"Click to edit","Anklicken zu bearbeiten"
"Can't delete image","Das Bild wird nicht gelöscht."
"Delete this image","Entfernen das Bild"
"Name","Name"
"Created","Erstellt"
"Fit in field","Anpassen im Feld"
"Fit image in field","Anpassen das Bild im Feld"
"Rotate Image Right","Drehen das Bild nach rechts"
"Rotate right","Drehen nach rechts"
"Rotate Image Left","Drehen das Bild nach Links"
"Rotate left","Drehen nach Links"
"Crop Image","Zuschneiden das Bild"
"Crop","Zuschneiden"
"Undo all changes","Alle Änderungen rückgängig machen"
"Restore","Ersetzen"
"Delete Image","Entwerfen das Bild"
"Personalize","Personalisieren"
"Please specify the product's required option(s) and/or personalize it","Bitte geben Sie die gewünschte Produktoptionen und oder personalisieren"
"Pending Review","Warten auf Überprüfung"
"Share preview","Mitteilen den Vorschau"
"Save","Speichern"
"Reset","Ersetzen"
"ZetaPrints web-to-print options","ZetaPrints web-to-print optionen"
"Customer's personal options for web-to-print extension.","Kunden personalisierte Optionen für web-to-print Erweiterung."
"Update all previews first!","Zuerst aktualisieren alle die Vorschau!"
"Update preview first!","Zuerst aktualisieren den Vorschau"
"Settings","Konfiguration"
"Enabled","Freigegeben"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API Key"
"Store","Speichern"
"Refresh All","Aktualisieren Alle"
"For Deleted Templates","Für gelöschte Vorlagen"
"File Uploading Limit","Datei Uploadgrenze"
"Up/Down","Oben/Unten"
"Collapse/Expand","Zusammenbruch/Entspannen"
"Title","Titel"
"Upload","Hochladen"
"My images","Meine Bilder"
"Stock images","Stock Bilder"
"Color picker","Farbwähler"
"Blank","Leer"
"Default","Standard"
"Upload new image from your computer","Hochladen ein neues Bild"
"Choose file","Wählen die Datei"
"Upload file","Hochladen die Datei"
"Click to enlarge","Anklicken zum Vergrößern"
"Choose a color","Wählen eine Farbe"
" and click Select to fill the place of the photo."," und anklicken um der Platz im Foto zu ausfüllen."
"Click to show page","Anklicken um die Seite zu zeigen"
"Recommended size:","Empfohlene Größe:"
"px","px"
