"Rotate right","Повернуть направо"
"Rotate left","Повернуть налево"
"Rotate Image Right","Повернуть изображение направо"
"Rotate Image Left","Повернуть изображение налево"
"Crop Image","Обрезать изображение"
"Crop","Обрезать"
"Undo all changes","Отменить все изменения"
"Original size","Размер оригинала"
"Restore","Восстановить"
"Use triggers to crop image","Используйте мышку, чтобы обрезать изображение"
"Image Cropped","Изображение обрезано"
"Image Restored","Изображение восстановлено"
"Image Loaded","Изображение загружено"
"Image Rotated","Изображение повернуто"
"Can\'t crop image:","Не получается обрезать изображение:"
"Can\'t restore image:","Не получается восстановить изображение:"
"Can\'t load image:","Не получается загрузить изображение:"
"Can\'t rotate image:","Не получается повернуть изображение:"
"W:","Ш:"
"H:","В:"
"Edit","Редактировать"

"Click to enlarge image","Нажмите, чтобы увеличить изображение"
"Click to see more images","Нажмите, чтобы увидеть больше изображений"
"Click to close","Закрыть"
"Update preview","Обновить предпросмотр"
"Updating preview image","Предпросмотр обновляется"
"Next page","Следующая страница"
"Show previews","Показать предпросмотры"
"Hide previews","Спрятать предпросмотры"
"Click to enlarge","Нажмите, чтобы увеличить"
"Show all order previews","Показать все изображения"
"Hide all order previews","Спрятать все изображения"
"Click to view in large size","Нажмите, чтобы увидеть в увеличенном виде"
"Error was occurred while uploading image","Произошла ошибка при загрузке изображения"
"Can\'t get preview image:","Предпросмотр изображения невозможен"
"There was an error in generating or receiving preview image.\nPlease try again.","Произошла ошибка при создании или получении изображения.\nПожалуйста попробуйте снова."

"Upload","Загрузить"
"Upload new image from your computer","Загрузить новый файл с компьютера"
"Leave blank","Оставить пустым"
"My images","Мои файлы"
"Stock images","Изображения"
"Color picker","Пипетка"
"Choose file","Выбрать файл"
"Upload file","Загрузить"
"Click to edit","Нажмите, чтобы редактировать"
"Choose a color","Выберите цвет"
"and click Select to fill the place of the photo.","и нажмите Select, чтобы заполнить фотографию"
"Click to show page","Нажмите, чтобы увидеть страницу"
