"ZetaPrints Sync","Настройки ZetaPrints"
"Settings","Настройки"
"Enabled","Включен"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API ключ"
"Store","Магазин"
"Refresh All","Обновлять все"
"For Deleted Templates","Для удаленных шаблонов"
"File Uploading Limit","Ограничение размера загружаемых файлов"
"Up/Down","Показать/Скрыть"
"Collapse/Expand","Свернуть/Развернуть"
"Title","Заголовок"
"Upload","Загрузка"
"My images","Мои изображения"
"Stock images","Изображения"
"Color picker","Выбор цвета"
"Blank","Пустой"
"Default","По-умолчанию"
"Upload new image from your computer","Загрузить новое изображение с вашего компьютера"
"Choose file","Выбрать файл"
"Upload file","Загрузить файл"
"Click to edit","Нажмите, чтобы редактировать"
"Click to delete","Нажмите, чтобы удалить"
"Delete","Удалить"
"Edit","Редактировать"
"Click to enlarge","Нажмите для увеличения"
"Choose a color","Выберите цвет"
" and click Select to fill the place of the photo."," и нажмите Select, чтобы заполнить место фотографии"
"Click to show page","Нажмите, чтобы увидеть страницу"
